Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
modularity (biology),OpenAlex,modularity (networks),OpenAIRE,0.9725483522316558,67,33,31,0.4492753623188406
calcium imaging,OpenAIRE,calcium,OpenAlex,0.7592933405238078,6,6,4,0.5
calcium,OpenAlex,calcium imaging,OpenAIRE,0.7592933405238078,6,6,4,0.5
percolation,OpenAIRE,percolation (cognitive psychology),OpenAlex,0.5200677354134933,8,11,7,0.5833333333333334
percolation,OpenAIRE,percolation threshold,OpenAlex,0.8978814799766277,8,6,5,0.5555555555555556
percolation threshold,OpenAlex,percolation,OpenAIRE,0.8978814799766277,6,8,5,0.5555555555555556
percolation (cognitive psychology),OpenAlex,percolation,OpenAIRE,0.5200677354134933,11,8,7,0.5833333333333334
ant colony,OpenAlex,ant colony optimization algorithms,OpenAIRE,0.7803985722793209,22,28,15,0.4285714285714285
land cover,OpenAIRE,land use,OpenAlex,0.7647153739278814,46,62,37,0.5211267605633803
pascal (programming language),OpenAIRE,pascal (unit),OpenAlex,0.9360546214248844,43,68,41,0.5857142857142857
pascal (unit),OpenAlex,pascal (programming language),OpenAIRE,0.9360546214248844,68,43,41,0.5857142857142857
concatenation,OpenAIRE,concatenation (mathematics),OpenAlex,0.5031426234293642,11,13,8,0.5
bearing (mechanical),OpenAIRE,bearing (navigation),OpenAlex,0.9846014153794952,35,50,31,0.5740740740740741
bearing (navigation),OpenAlex,bearing (mechanical),OpenAIRE,0.9846014153794952,50,35,31,0.5740740740740741
land use,OpenAlex,land cover,OpenAIRE,0.7647153739278814,62,46,37,0.5211267605633803
adaptive histogram equalization,OpenAIRE,histogram matching,OpenAlex,0.7939078034727254,16,22,11,0.4074074074074074
adaptive histogram equalization,OpenAIRE,histogram equalization,OpenAlex,0.9658062861952058,16,27,14,0.4827586206896552
histogram matching,OpenAlex,adaptive histogram equalization,OpenAIRE,0.7939078034727254,22,16,11,0.4074074074074074
histogram equalization,OpenAlex,adaptive histogram equalization,OpenAIRE,0.9658062861952058,27,16,14,0.4827586206896552
