Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
sketch,OpenAIRE,sketch,OpenAlex,1.0,98,154,87,0.5272727272727272
receiver operating characteristic,OpenAIRE,receiver operating characteristic,OpenAlex,1.0,261,268,190,0.56047197640118
panchromatic film,OpenAIRE,panchromatic film,OpenAlex,1.0,40,48,39,0.7959183673469388
oversampling,OpenAIRE,oversampling,OpenAlex,1.0,40,61,34,0.5074626865671642
cogging torque,OpenAIRE,cogging torque,OpenAlex,1.0,15,16,15,0.9375
fuzzy logic,OpenAIRE,fuzzy logic,OpenAlex,1.0,1673,2579,1511,0.5512586647209048
subspace topology,OpenAIRE,subspace topology,OpenAlex,1.0,300,432,263,0.5607675906183369
markov random field,OpenAIRE,markov random field,OpenAlex,1.0,103,149,85,0.5089820359281437
epoxy,OpenAIRE,epoxy,OpenAlex,1.0,6,7,5,0.625
autoencoder,OpenAIRE,autoencoder,OpenAlex,1.0,157,223,129,0.5139442231075697
initialization,OpenAIRE,initialization,OpenAlex,1.0,175,234,151,0.5852713178294574
principal component analysis,OpenAIRE,principal component analysis,OpenAlex,1.0,981,919,678,0.5548281505728314
content-addressable memory,OpenAIRE,content-addressable memory,OpenAlex,1.0,108,140,83,0.503030303030303
pseudo-riemannian manifold,OpenAIRE,pseudo-riemannian manifold,OpenAlex,1.0,9,6,6,0.6666666666666666
machine translation,OpenAIRE,machine translation,OpenAlex,1.0,177,257,146,0.5069444444444444
random forest,OpenAIRE,random forest,OpenAlex,1.0,476,577,380,0.5646359583952452
point cloud,OpenAIRE,point cloud,OpenAlex,1.0,164,219,147,0.6228813559322034
graduate medical education,OpenAIRE,graduate medical education,OpenAlex,1.0,6,7,5,0.625
mascot,OpenAIRE,mascot,OpenAlex,1.0,6,8,5,0.5555555555555556
kin selection,OpenAIRE,kin selection,OpenAlex,1.0,91,113,72,0.5454545454545454
operationalization,OpenAIRE,operationalization,OpenAlex,1.0,212,271,187,0.6317567567567568
discriminative model,OpenAIRE,discriminative model,OpenAlex,1.0,553,710,500,0.6553079947575361
maxima and minima,OpenAIRE,maxima and minima,OpenAlex,1.0,169,229,134,0.5075757575757576
isomap,OpenAIRE,isomap,OpenAlex,1.0,21,25,16,0.5333333333333333
diffusion map,OpenAIRE,diffusion map,OpenAlex,1.0,19,21,14,0.5384615384615384
stylus,OpenAIRE,stylus,OpenAlex,1.0,16,17,13,0.65
scanning tunneling microscope,OpenAIRE,scanning tunneling microscope,OpenAlex,1.0,29,35,23,0.5609756097560976
non-contact atomic force microscopy,OpenAIRE,non-contact atomic force microscopy,OpenAlex,1.0,22,26,18,0.6
reinforcement learning,OpenAIRE,reinforcement learning,OpenAlex,1.0,523,737,442,0.5403422982885085
beacon,OpenAIRE,beacon,OpenAlex,1.0,13,18,12,0.631578947368421
exome,OpenAIRE,exome,OpenAlex,1.0,7,7,5,0.5555555555555556
conditional random field,OpenAIRE,conditional random field,OpenAlex,1.0,118,144,95,0.5688622754491018
upsampling,OpenAIRE,upsampling,OpenAlex,1.0,40,59,36,0.5714285714285714
logos bible software,OpenAIRE,logos bible software,OpenAlex,1.0,6,5,4,0.5714285714285714
interpretability,OpenAIRE,interpretability,OpenAlex,1.0,216,279,182,0.5814696485623003
silhouette,OpenAIRE,silhouette,OpenAlex,1.0,55,63,46,0.6388888888888888
eigenface,OpenAIRE,eigenface,OpenAlex,1.0,41,29,25,0.5555555555555556
facial recognition system,OpenAIRE,facial recognition system,OpenAlex,1.0,647,647,444,0.5223529411764706
dilemma,OpenAIRE,dilemma,OpenAlex,1.0,93,127,77,0.5384615384615384
univariate,OpenAIRE,univariate,OpenAlex,1.0,169,219,145,0.5967078189300411
scrolling,OpenAIRE,scrolling,OpenAlex,1.0,10,12,8,0.5714285714285714
cointegration,OpenAIRE,cointegration,OpenAlex,1.0,31,38,24,0.5333333333333333
receptive field,OpenAIRE,receptive field,OpenAlex,1.0,171,186,137,0.6227272727272727
affordance,OpenAIRE,affordance,OpenAlex,1.0,97,130,80,0.54421768707483
adaboost,OpenAIRE,adaboost,OpenAlex,1.0,118,105,86,0.6277372262773723
natural selection,OpenAIRE,natural selection,OpenAlex,1.0,980,1258,785,0.5402615278733655
monte carlo tree search,OpenAIRE,monte carlo tree search,OpenAlex,1.0,8,6,6,0.75
champion,OpenAIRE,champion,OpenAlex,1.0,8,15,8,0.5333333333333333
wisconsin card sorting test,OpenAIRE,wisconsin card sorting test,OpenAlex,1.0,6,6,5,0.7142857142857143
non-negative matrix factorization,OpenAIRE,non-negative matrix factorization,OpenAlex,1.0,95,96,80,0.7207207207207207
-opt,OpenAIRE,-opt,OpenAlex,1.0,14,15,10,0.5263157894736842
imitation,OpenAIRE,imitation,OpenAlex,1.0,113,151,89,0.5085714285714286
knowledge sharing,OpenAIRE,knowledge sharing,OpenAlex,1.0,63,65,45,0.5421686746987951
functional magnetic resonance imaging,OpenAIRE,functional magnetic resonance imaging,OpenAlex,1.0,536,743,453,0.5484261501210653
distance sampling,OpenAIRE,distance sampling,OpenAlex,1.0,7,6,6,0.8571428571428571
perl,OpenAIRE,perl,OpenAlex,1.0,15,20,12,0.5217391304347826
contig,OpenAIRE,contig,OpenAlex,1.0,9,11,8,0.6666666666666666
coalescent theory,OpenAIRE,coalescent theory,OpenAlex,1.0,77,88,66,0.6666666666666666
sigmoid function,OpenAIRE,sigmoid function,OpenAlex,1.0,84,110,68,0.5396825396825397
hypercube,OpenAIRE,hypercube,OpenAlex,1.0,21,21,15,0.5555555555555556
affine transformation,OpenAIRE,affine transformation,OpenAlex,1.0,172,232,147,0.5719844357976653
crossover,OpenAIRE,crossover,OpenAlex,1.0,243,422,229,0.5252293577981652
model predictive control,OpenAIRE,model predictive control,OpenAlex,1.0,392,358,305,0.6853932584269663
outlier,OpenAIRE,outlier,OpenAlex,1.0,375,548,335,0.5697278911564626
monocular,OpenAIRE,monocular,OpenAlex,1.0,115,169,100,0.5434782608695652
controllability,OpenAIRE,controllability,OpenAlex,1.0,223,198,163,0.6317829457364341
genbank,OpenAIRE,genbank,OpenAlex,1.0,12,15,10,0.5882352941176471
independent component analysis,OpenAIRE,independent component analysis,OpenAlex,1.0,234,222,180,0.6521739130434783
prefrontal cortex,OpenAIRE,prefrontal cortex,OpenAlex,1.0,377,371,260,0.5327868852459017
portfolio,OpenAIRE,portfolio,OpenAlex,1.0,159,220,140,0.5857740585774058
stressor,OpenAIRE,stressor,OpenAlex,1.0,66,87,55,0.5612244897959183
conceptualization,OpenAIRE,conceptualization,OpenAlex,1.0,1202,1671,1143,0.6606936416184971
deconvolution,OpenAIRE,deconvolution,OpenAlex,1.0,164,172,134,0.6633663366336634
rough set,OpenAIRE,rough set,OpenAlex,1.0,176,197,150,0.672645739910314
gesture,OpenAIRE,gesture,OpenAlex,1.0,374,449,321,0.6394422310756972
facial expression,OpenAIRE,facial expression,OpenAlex,1.0,355,275,220,0.5365853658536586
hippocampal formation,OpenAIRE,hippocampal formation,OpenAlex,1.0,105,156,91,0.5352941176470588
incineration,OpenAIRE,incineration,OpenAlex,1.0,7,6,6,0.8571428571428571
allometry,OpenAIRE,allometry,OpenAlex,1.0,42,31,30,0.6976744186046512
supercooling,OpenAIRE,supercooling,OpenAlex,1.0,13,18,12,0.631578947368421
mesoscopic physics,OpenAIRE,mesoscopic physics,OpenAlex,1.0,28,33,24,0.6486486486486487
glass transition,OpenAIRE,glass transition,OpenAlex,1.0,20,18,13,0.52
handover,OpenAIRE,handover,OpenAlex,1.0,10,9,8,0.7272727272727273
partial least squares regression,OpenAIRE,partial least squares regression,OpenAlex,1.0,144,153,112,0.6054054054054054
modular design,OpenAIRE,modular design,OpenAlex,1.0,220,347,190,0.5039787798408488
diabetic retinopathy,OpenAIRE,diabetic retinopathy,OpenAlex,1.0,91,75,69,0.711340206185567
macular edema,OpenAIRE,macular edema,OpenAlex,1.0,7,7,7,1.0
delphi method,OpenAIRE,delphi method,OpenAlex,1.0,234,340,229,0.663768115942029
participatory sensing,OpenAIRE,participatory sensing,OpenAlex,1.0,9,9,7,0.6363636363636364
econophysics,OpenAIRE,econophysics,OpenAlex,1.0,11,6,6,0.5454545454545454
stereology,OpenAIRE,stereology,OpenAlex,1.0,6,7,5,0.625
parsing,OpenAIRE,parsing,OpenAlex,1.0,314,449,264,0.5290581162324649
kegg,OpenAIRE,kegg,OpenAlex,1.0,10,8,7,0.6363636363636364
metagenomics,OpenAIRE,metagenomics,OpenAlex,1.0,72,58,45,0.5294117647058824
workflow,OpenAIRE,workflow,OpenAlex,1.0,154,194,129,0.589041095890411
sociotechnical system,OpenAIRE,sociotechnical system,OpenAlex,1.0,39,45,32,0.6153846153846154
mobilities,OpenAIRE,mobilities,OpenAlex,1.0,11,17,11,0.6470588235294118
hessian matrix,OpenAIRE,hessian matrix,OpenAlex,1.0,50,66,48,0.7058823529411765
semigroup,OpenAIRE,semigroup,OpenAlex,1.0,21,20,14,0.5185185185185185
adaptive histogram equalization,OpenAIRE,adaptive histogram equalization,OpenAlex,1.0,55,53,44,0.6875
foraging,OpenAIRE,foraging,OpenAlex,1.0,148,161,112,0.5685279187817259
fast marching method,OpenAIRE,fast marching method,OpenAlex,1.0,19,18,13,0.5416666666666666
eikonal equation,OpenAIRE,eikonal equation,OpenAlex,1.0,7,9,6,0.6
level set method,OpenAIRE,level set method,OpenAlex,1.0,70,69,52,0.5977011494252874
conservation law,OpenAIRE,conservation law,OpenAlex,1.0,37,31,25,0.5813953488372093
sliding mode control,OpenAIRE,sliding mode control,OpenAlex,1.0,232,211,161,0.5709219858156028
anomaly detection,OpenAIRE,anomaly detection,OpenAlex,1.0,298,321,235,0.6119791666666666
attachment theory,OpenAIRE,attachment theory,OpenAlex,1.0,40,56,33,0.5238095238095238
ambivalence,OpenAIRE,ambivalence,OpenAlex,1.0,25,32,20,0.5405405405405406
biosocial theory,OpenAIRE,biosocial theory,OpenAlex,1.0,8,8,6,0.6
elastomer,OpenAIRE,elastomer,OpenAlex,1.0,43,68,38,0.5205479452054794
capacitive sensing,OpenAIRE,capacitive sensing,OpenAlex,1.0,34,47,30,0.5882352941176471
tactile sensor,OpenAIRE,tactile sensor,OpenAlex,1.0,80,98,60,0.5084745762711864
induced seismicity,OpenAIRE,induced seismicity,OpenAlex,1.0,18,13,12,0.631578947368421
iris recognition,OpenAIRE,iris recognition,OpenAlex,1.0,47,44,40,0.7843137254901961
biometrics,OpenAIRE,biometrics,OpenAlex,1.0,281,301,224,0.6256983240223464
sentiment analysis,OpenAIRE,sentiment analysis,OpenAlex,1.0,284,336,233,0.6020671834625323
automatic summarization,OpenAIRE,automatic summarization,OpenAlex,1.0,176,223,158,0.6556016597510373
scale-invariant feature transform,OpenAIRE,scale-invariant feature transform,OpenAlex,1.0,97,103,75,0.6
clutter,OpenAIRE,clutter,OpenAlex,1.0,138,184,115,0.5555555555555556
vector quantization,OpenAIRE,vector quantization,OpenAlex,1.0,91,88,60,0.5042016806722689
manifesto,OpenAIRE,manifesto,OpenAlex,1.0,11,11,9,0.6923076923076923
corporate social responsibility,OpenAIRE,corporate social responsibility,OpenAlex,1.0,138,145,114,0.6745562130177515
embodied cognition,OpenAIRE,embodied cognition,OpenAlex,1.0,308,463,263,0.5177165354330708
competence (human resources),OpenAIRE,competence (human resources),OpenAlex,1.0,209,226,147,0.5104166666666666
stroop effect,OpenAIRE,stroop effect,OpenAlex,1.0,46,40,34,0.6538461538461539
centroid,OpenAIRE,centroid,OpenAlex,1.0,89,137,77,0.5167785234899329
contact angle,OpenAIRE,contact angle,OpenAlex,1.0,15,16,11,0.55
wetting,OpenAIRE,wetting,OpenAlex,1.0,19,20,16,0.6956521739130435
hysteresis,OpenAIRE,hysteresis,OpenAlex,1.0,73,100,63,0.5727272727272728
sentence,OpenAIRE,sentence,OpenAlex,1.0,589,875,508,0.5313807531380753
centroidal voronoi tessellation,OpenAIRE,centroidal voronoi tessellation,OpenAlex,1.0,9,10,7,0.5833333333333334
ankle,OpenAIRE,ankle,OpenAlex,1.0,60,64,48,0.631578947368421
inverted pendulum,OpenAIRE,inverted pendulum,OpenAlex,1.0,66,89,63,0.6847826086956522
kinematics,OpenAIRE,kinematics,OpenAlex,1.0,562,734,463,0.5558223289315727
weighting,OpenAIRE,weighting,OpenAlex,1.0,389,485,321,0.5804701627486437
collaborative filtering,OpenAIRE,collaborative filtering,OpenAlex,1.0,135,143,99,0.553072625698324
recommender system,OpenAIRE,recommender system,OpenAlex,1.0,229,285,203,0.6527331189710611
feature selection,OpenAIRE,feature selection,OpenAlex,1.0,916,886,655,0.5710549258936356
subpixel rendering,OpenAIRE,subpixel rendering,OpenAlex,1.0,71,71,61,0.7530864197530864
creative class,OpenAIRE,creative class,OpenAlex,1.0,12,13,11,0.7857142857142857
ecotourism,OpenAIRE,ecotourism,OpenAlex,1.0,17,18,12,0.5217391304347826
dendrogram,OpenAIRE,dendrogram,OpenAlex,1.0,29,15,15,0.5172413793103449
intellectual capital,OpenAIRE,intellectual capital,OpenAlex,1.0,22,22,17,0.6296296296296297
land cover,OpenAIRE,land cover,OpenAlex,1.0,164,175,125,0.5841121495327103
edas,OpenAIRE,edas,OpenAlex,1.0,5,7,5,0.7142857142857143
alliance,OpenAIRE,alliance,OpenAlex,1.0,70,83,65,0.7386363636363636
hypergeometric distribution,OpenAIRE,hypergeometric distribution,OpenAlex,1.0,6,7,5,0.625
open government,OpenAIRE,open government,OpenAlex,1.0,6,6,5,0.7142857142857143
metacognition,OpenAIRE,metacognition,OpenAlex,1.0,106,91,66,0.5038167938931297
stator,OpenAIRE,stator,OpenAlex,1.0,145,177,139,0.7595628415300546
confocal,OpenAIRE,confocal,OpenAlex,1.0,33,52,29,0.5178571428571429
hyperspectral imaging,OpenAIRE,hyperspectral imaging,OpenAlex,1.0,424,526,406,0.7463235294117647
enterprise resource planning,OpenAIRE,enterprise resource planning,OpenAlex,1.0,25,28,22,0.7096774193548387
incubator,OpenAIRE,incubator,OpenAlex,1.0,8,9,8,0.8888888888888888
monochromator,OpenAIRE,monochromator,OpenAlex,1.0,6,6,6,1.0
tikhonov regularization,OpenAIRE,tikhonov regularization,OpenAlex,1.0,49,65,44,0.6285714285714286
magnification,OpenAIRE,magnification,OpenAlex,1.0,45,69,41,0.5616438356164384
sexual selection,OpenAIRE,sexual selection,OpenAlex,1.0,333,394,291,0.6674311926605505
flywheel,OpenAIRE,flywheel,OpenAlex,1.0,9,7,7,0.7777777777777778
magnetic bearing,OpenAIRE,magnetic bearing,OpenAlex,1.0,8,9,7,0.7
clarity,OpenAIRE,clarity,OpenAlex,1.0,125,200,113,0.5330188679245284
microblogging,OpenAIRE,microblogging,OpenAlex,1.0,53,71,44,0.55
checklist,OpenAIRE,checklist,OpenAlex,1.0,60,72,50,0.6097560975609756
bankruptcy prediction,OpenAIRE,bankruptcy prediction,OpenAlex,1.0,46,54,41,0.6949152542372882
profitability index,OpenAIRE,profitability index,OpenAlex,1.0,82,95,63,0.5526315789473685
biological dispersal,OpenAIRE,biological dispersal,OpenAlex,1.0,101,151,87,0.5272727272727272
turnout,OpenAIRE,turnout,OpenAlex,1.0,12,17,11,0.6111111111111112
pronunciation,OpenAIRE,pronunciation,OpenAlex,1.0,42,38,29,0.5686274509803921
cone beam computed tomography,OpenAIRE,cone beam computed tomography,OpenAlex,1.0,20,25,16,0.5517241379310345
imaging phantom,OpenAIRE,imaging phantom,OpenAlex,1.0,192,226,163,0.6392156862745098
fluoroscopy,OpenAIRE,fluoroscopy,OpenAlex,1.0,16,14,12,0.6666666666666666
bidding,OpenAIRE,bidding,OpenAlex,1.0,33,30,28,0.8
dysarthria,OpenAIRE,dysarthria,OpenAlex,1.0,5,6,4,0.5714285714285714
corporate governance,OpenAIRE,corporate governance,OpenAlex,1.0,291,388,234,0.5258426966292135
situational ethics,OpenAIRE,situational ethics,OpenAlex,1.0,130,197,112,0.5209302325581395
conservatism,OpenAIRE,conservatism,OpenAlex,1.0,14,18,11,0.5238095238095238
organizational identification,OpenAIRE,organizational identification,OpenAlex,1.0,17,19,14,0.6363636363636364
mandate,OpenAIRE,mandate,OpenAlex,1.0,16,19,12,0.5217391304347826
presupposition,OpenAIRE,presupposition,OpenAlex,1.0,23,23,16,0.5333333333333333
hebbian theory,OpenAIRE,hebbian theory,OpenAlex,1.0,93,109,84,0.711864406779661
reduct,OpenAIRE,reduct,OpenAlex,1.0,17,19,13,0.5652173913043478
microfoundations,OpenAIRE,microfoundations,OpenAlex,1.0,13,14,10,0.5882352941176471
eye movement,OpenAIRE,eye movement,OpenAlex,1.0,525,571,378,0.5264623955431755
maximum power point tracking,OpenAIRE,maximum power point tracking,OpenAlex,1.0,176,182,150,0.7211538461538461
wind power,OpenAIRE,wind power,OpenAlex,1.0,342,356,299,0.7493734335839599
wind speed,OpenAIRE,wind speed,OpenAlex,1.0,166,172,115,0.515695067264574
photovoltaic system,OpenAIRE,photovoltaic system,OpenAlex,1.0,267,292,248,0.797427652733119
generosity,OpenAIRE,generosity,OpenAlex,1.0,10,14,9,0.6
regulatory focus theory,OpenAIRE,regulatory focus theory,OpenAlex,1.0,11,13,10,0.7142857142857143
synthetic aperture radar,OpenAIRE,synthetic aperture radar,OpenAlex,1.0,270,273,222,0.6915887850467289
computational thinking,OpenAIRE,computational thinking,OpenAlex,1.0,30,35,26,0.6666666666666666
voltage droop,OpenAIRE,voltage droop,OpenAlex,1.0,86,99,84,0.8316831683168316
ac power,OpenAIRE,ac power,OpenAlex,1.0,340,370,238,0.5042372881355932
microgrid,OpenAIRE,microgrid,OpenAlex,1.0,177,182,165,0.8505154639175257
multispectral image,OpenAIRE,multispectral image,OpenAlex,1.0,196,244,176,0.6666666666666666
lidar,OpenAIRE,lidar,OpenAlex,1.0,114,142,98,0.620253164556962
rgb color model,OpenAIRE,rgb color model,OpenAlex,1.0,204,204,146,0.5572519083969466
comparative statics,OpenAIRE,comparative statics,OpenAlex,1.0,11,14,9,0.5625
friendship,OpenAIRE,friendship,OpenAlex,1.0,81,86,59,0.5462962962962963
high pressure,OpenAIRE,high pressure,OpenAlex,1.0,8,8,6,0.6
haskell,OpenAIRE,haskell,OpenAlex,1.0,10,12,8,0.5714285714285714
type inference,OpenAIRE,type inference,OpenAlex,1.0,22,30,18,0.5294117647058824
collinearity,OpenAIRE,collinearity,OpenAlex,1.0,23,26,20,0.6896551724137931
quantile regression,OpenAIRE,quantile regression,OpenAlex,1.0,32,37,27,0.6428571428571429
quantile,OpenAIRE,quantile,OpenAlex,1.0,62,68,45,0.5294117647058824
tenderness,OpenAIRE,tenderness,OpenAlex,1.0,7,12,7,0.5833333333333334
flavour,OpenAIRE,flavour,OpenAlex,1.0,12,12,9,0.6
nomological network,OpenAIRE,nomological network,OpenAlex,1.0,38,48,32,0.5925925925925926
olfactory bulb,OpenAIRE,olfactory bulb,OpenAlex,1.0,17,15,12,0.6
stakeholder,OpenAIRE,stakeholder,OpenAlex,1.0,143,180,112,0.5308056872037915
multiplex,OpenAIRE,multiplex,OpenAlex,1.0,13,20,12,0.5714285714285714
optimal distinctiveness theory,OpenAIRE,optimal distinctiveness theory,OpenAlex,1.0,71,95,61,0.580952380952381
implicit attitude,OpenAIRE,implicit attitude,OpenAlex,1.0,23,24,16,0.5161290322580645
moderation,OpenAIRE,moderation,OpenAlex,1.0,75,91,57,0.5229357798165137
voxel,OpenAIRE,voxel,OpenAlex,1.0,285,438,260,0.5615550755939525
microbiome,OpenAIRE,microbiome,OpenAlex,1.0,46,48,38,0.6785714285714286
antibiotic resistance,OpenAIRE,antibiotic resistance,OpenAlex,1.0,30,29,20,0.5128205128205128
soft robotics,OpenAIRE,soft robotics,OpenAlex,1.0,118,153,93,0.5224719101123596
underwater,OpenAIRE,underwater,OpenAlex,1.0,101,130,87,0.6041666666666666
observability,OpenAIRE,observability,OpenAlex,1.0,156,144,109,0.5706806282722513
reachability,OpenAIRE,reachability,OpenAlex,1.0,46,63,37,0.5138888888888888
slipping,OpenAIRE,slipping,OpenAlex,1.0,13,16,12,0.7058823529411765
futures studies,OpenAIRE,futures studies,OpenAlex,1.0,72,115,66,0.5454545454545454
feeling,OpenAIRE,feeling,OpenAlex,1.0,249,352,216,0.561038961038961
objectification,OpenAIRE,objectification,OpenAlex,1.0,15,16,14,0.8235294117647058
deception,OpenAIRE,deception,OpenAlex,1.0,62,48,37,0.5068493150684932
compressed suffix array,OpenAIRE,compressed suffix array,OpenAlex,1.0,8,8,6,0.6
interview,OpenAIRE,interview,OpenAlex,1.0,61,66,44,0.5301204819277109
state of health,OpenAIRE,state of health,OpenAlex,1.0,10,13,8,0.5333333333333333
attractor,OpenAIRE,attractor,OpenAlex,1.0,286,293,233,0.6734104046242775
chaotic,OpenAIRE,chaotic,OpenAlex,1.0,729,1198,696,0.5653939886271324
dwell time,OpenAIRE,dwell time,OpenAlex,1.0,25,34,21,0.5526315789473685
lyapunov function,OpenAIRE,lyapunov function,OpenAlex,1.0,489,525,357,0.54337899543379
juvenile delinquency,OpenAIRE,juvenile delinquency,OpenAlex,1.0,70,57,43,0.5119047619047619
argumentation theory,OpenAIRE,argumentation theory,OpenAlex,1.0,67,79,59,0.6781609195402298
fire detection,OpenAIRE,fire detection,OpenAlex,1.0,23,22,17,0.6071428571428571
lesbian,OpenAIRE,lesbian,OpenAlex,1.0,18,18,15,0.7142857142857143
sexual identity,OpenAIRE,sexual identity,OpenAlex,1.0,9,8,6,0.5454545454545454
eigenfunction,OpenAIRE,eigenfunction,OpenAlex,1.0,23,30,18,0.5142857142857142
atom interferometer,OpenAIRE,atom interferometer,OpenAlex,1.0,9,11,9,0.8181818181818182
narrative,OpenAIRE,narrative,OpenAlex,1.0,243,342,200,0.5194805194805194
convexity,OpenAIRE,convexity,OpenAlex,1.0,49,63,38,0.5135135135135135
uniqueness,OpenAIRE,uniqueness,OpenAlex,1.0,140,161,102,0.5125628140703518
causal inference,OpenAIRE,causal inference,OpenAlex,1.0,212,307,178,0.5219941348973607
tourism,OpenAIRE,tourism,OpenAlex,1.0,236,325,219,0.6403508771929824
recall,OpenAIRE,recall,OpenAlex,1.0,343,457,285,0.5533980582524272
dyslexia,OpenAIRE,dyslexia,OpenAlex,1.0,51,49,35,0.5384615384615384
mass transfer,OpenAIRE,mass transfer,OpenAlex,1.0,9,8,6,0.5454545454545454
reputation,OpenAIRE,reputation,OpenAlex,1.0,110,126,90,0.6164383561643836
turbine,OpenAIRE,turbine,OpenAlex,1.0,147,195,134,0.6442307692307693
mean absolute percentage error,OpenAIRE,mean absolute percentage error,OpenAlex,1.0,50,47,35,0.5645161290322581
mismatch negativity,OpenAIRE,mismatch negativity,OpenAlex,1.0,18,14,11,0.5238095238095238
radial basis function,OpenAIRE,radial basis function,OpenAlex,1.0,182,176,128,0.5565217391304348
autoregressive integrated moving average,OpenAIRE,autoregressive integrated moving average,OpenAlex,1.0,95,128,83,0.5928571428571429
common value auction,OpenAIRE,common value auction,OpenAlex,1.0,34,38,25,0.5319148936170213
threatened species,OpenAIRE,threatened species,OpenAlex,1.0,18,18,14,0.6363636363636364
polynomial chaos,OpenAIRE,polynomial chaos,OpenAlex,1.0,11,12,9,0.6428571428571429
debriefing,OpenAIRE,debriefing,OpenAlex,1.0,10,8,7,0.6363636363636364
formative assessment,OpenAIRE,formative assessment,OpenAlex,1.0,71,74,49,0.5104166666666666
active filter,OpenAIRE,active filter,OpenAlex,1.0,56,47,40,0.6349206349206349
