n.category_name,n.source
"""loop (graph theory)""","""OpenAlex"""
"""full state feedback""","""OpenAIRE"""
"""pole-zero plot""","""OpenAIRE"""
"""electroactive polymers""","""OpenAlex"""
"""dielectric elastomers""","""OpenAlex"""
"""paper""","""OpenAIRE"""
"""electrical equipment and supplies""","""OpenAIRE"""
"""static electricity""","""OpenAIRE"""
"""silicones""","""OpenAIRE"""
"""solid mechanics deformation (mechanics)""","""OpenAIRE"""
"""ovum""","""OpenAIRE"""
"""elastomers""","""OpenAIRE"""
"""chickens""","""OpenAIRE"""
"""probabilistic relevance model""","""OpenAlex"""
"""divergence-from-randomness model""","""OpenAlex"""
"""document retrieval""","""OpenAlex"""
"""learning to rank""","""OpenAlex"""
"""binary relation""","""OpenAlex"""
"""probabilistic analysis of algorithms""","""OpenAlex"""
"""convex optimization""","""OpenAlex"""
"""adaptive neuro fuzzy inference system""","""OpenAlex"""
"""adaptive neuro fuzzy inference system""","""OpenAIRE"""
"""linear matrix inequality""","""OpenAIRE"""
"""dynamic programming""","""OpenAlex"""
"""bellman equation""","""OpenAlex"""
"""tp-""","""OpenAIRE"""
"""systems and control (eess sy)""","""OpenAIRE"""
"""electrical engineering and systems science - systems and control""","""OpenAIRE"""
"""system model""","""OpenAIRE"""
"""chemical technology""","""OpenAIRE"""
"""toolbox""","""OpenAIRE"""
"""dynamic programming""","""OpenAIRE"""
"""demosaicing""","""OpenAlex"""
"""color filter array""","""OpenAlex"""
"""bayer filter""","""OpenAlex"""
"""color balance""","""OpenAlex"""
"""color image""","""OpenAlex"""
"""color gel""","""OpenAlex"""
"""false color""","""OpenAlex"""
"""color histogram""","""OpenAIRE"""
"""business product category""","""OpenAIRE"""
"""digital camera""","""OpenAIRE"""
"""bayer filter""","""OpenAIRE"""
"""demosaicing""","""OpenAIRE"""
"""color image""","""OpenAIRE"""
"""high color""","""OpenAIRE"""
"""color filter array""","""OpenAIRE"""
"""stack (abstract data type)""","""OpenAlex"""
"""resistive touchscreen""","""OpenAlex"""
"""piezoelectricity""","""OpenAlex"""
"""resistive touchscreen""","""OpenAIRE"""
"""piezoelectricity""","""OpenAIRE"""
"""stack (abstract data type)""","""OpenAIRE"""
"""maxwell's equations""","""OpenAIRE"""
"""mental health""","""OpenAlex"""
"""borderline personality disorder""","""OpenAlex"""
"""eating disorders""","""OpenAlex"""
"""pointwise""","""OpenAlex"""
"""graph classification""","""OpenAIRE"""
"""evolutionary physiology""","""OpenAIRE"""
"""biomedical image""","""OpenAIRE"""
"""telecommunications""","""OpenAIRE"""
"""data visualization""","""OpenAlex"""
"""cancer research""","""OpenAIRE"""
"""brain tumor""","""OpenAIRE"""
"""letter to the editor""","""OpenAIRE"""
"""oncology""","""OpenAIRE"""
"""debugging""","""OpenAlex"""
"""decomposition""","""OpenAlex"""
"""debugging""","""OpenAIRE"""
"""decomposition (computer science)""","""OpenAIRE"""
"""zoom""","""OpenAlex"""
"""user interface""","""OpenAlex"""
"""data curation""","""OpenAlex"""
"""false positive reactions""","""OpenAIRE"""
"""zoom""","""OpenAIRE"""
"""open data""","""OpenAIRE"""
"""level of detail""","""OpenAIRE"""
"""domain adaptation""","""OpenAlex"""
"""reproducing kernel hilbert space""","""OpenAlex"""
"""hilbert space""","""OpenAlex"""
"""pruning""","""OpenAlex"""
"""task analysis""","""OpenAIRE"""
"""operator theory""","""OpenAlex"""
"""heat transfer heat conduction""","""OpenAIRE"""
"""aerodynamics fluid dynamics""","""OpenAIRE"""
"""domain (mathematical analysis)""","""OpenAIRE"""
"""mathematical operators""","""OpenAIRE"""
"""criticism""","""OpenAlex"""
"""wish""","""OpenAlex"""
"""public sector""","""OpenAlex"""
"""new public management""","""OpenAlex"""
"""private sector""","""OpenAlex"""
"""public management""","""OpenAlex"""
"""phrase""","""OpenAlex"""
"""management theory""","""OpenAlex"""
"""new public management""","""OpenAIRE"""
"""tree-adjoining grammar""","""OpenAlex"""
"""rule-based machine translation""","""OpenAlex"""
"""automaton""","""OpenAlex"""
"""l-attributed grammar""","""OpenAlex"""
"""formal language""","""OpenAlex"""
"""context-free grammar""","""OpenAlex"""
"""mildly context-sensitive grammar formalism""","""OpenAlex"""
"""phrase structure rules""","""OpenAlex"""
"""categorial grammar""","""OpenAIRE"""
"""phrase structure rules""","""OpenAIRE"""
"""transformational grammar""","""OpenAIRE"""
"""tree-adjoining grammar""","""OpenAIRE"""
"""merge (linguistics)""","""OpenAIRE"""
"""scrutiny""","""OpenAlex"""
"""risk assessment""","""OpenAlex"""
"""scrutiny""","""OpenAIRE"""
"""dose-response relationship drug""","""OpenAIRE"""
"""risk assessment""","""OpenAIRE"""
"""linear discriminant analysis""","""OpenAlex"""
"""euclidean distance""","""OpenAlex"""
"""magic (programming)""","""OpenAIRE"""
"""euclidean distance""","""OpenAIRE"""
"""exploratory data analysis""","""OpenAIRE"""
"""non-linear least squares""","""OpenAIRE"""
"""partial least squares regression""","""OpenAIRE"""
"""discretion""","""OpenAlex"""
"""keynesian economics""","""OpenAlex"""
"""transparency (market)""","""OpenAIRE"""
"""jel e""","""OpenAIRE"""
"""monetary economics""","""OpenAIRE"""
"""central bank""","""OpenAIRE"""
"""volatility (finance)""","""OpenAIRE"""
"""macro""","""OpenAIRE"""
"""antecedent (behavioral psychology)""","""OpenAlex"""
"""turnover intention""","""OpenAlex"""
"""turnover""","""OpenAIRE"""
"""job analysis""","""OpenAIRE"""
"""unitary state""","""OpenAlex"""
"""mental representation""","""OpenAlex"""
"""hierarchical organization""","""OpenAlex"""
"""hierarchical database model""","""OpenAlex"""
"""unitary state""","""OpenAIRE"""
"""metasearch engine""","""OpenAlex"""
"""condorcet method""","""OpenAlex"""
"""search engine""","""OpenAIRE"""
"""metasearch engine""","""OpenAIRE"""
"""photomultiplier""","""OpenAlex"""
"""scintillator""","""OpenAlex"""
"""field of view""","""OpenAlex"""
"""scanner""","""OpenAIRE"""
"""photomultiplier""","""OpenAIRE"""
"""scintillation""","""OpenAIRE"""
"""field of view""","""OpenAIRE"""
"""scintillator""","""OpenAIRE"""
"""sagittal plane""","""OpenAlex"""
"""coronal plane""","""OpenAlex"""
"""trunk""","""OpenAlex"""
"""concurrent validity""","""OpenAlex"""
"""pelvis""","""OpenAlex"""
"""range of motion""","""OpenAlex"""
"""motion analysis""","""OpenAlex"""
"""motion capture""","""OpenAlex"""
"""patient satisfaction""","""OpenAlex"""
"""concurrent validity""","""OpenAIRE"""
"""sampling studies""","""OpenAIRE"""
"""reference values""","""OpenAIRE"""
"""range of motion articular""","""OpenAIRE"""
"""biomechanics""","""OpenAIRE"""
"""sagittal plane""","""OpenAIRE"""
"""range of motion""","""OpenAIRE"""
"""scots pine""","""OpenAlex"""
"""forestry""","""OpenAlex"""
"""forest inventory""","""OpenAlex"""
"""forest management""","""OpenAlex"""
"""forest management""","""OpenAIRE"""
"""red edge""","""OpenAIRE"""
"""forest ecology""","""OpenAIRE"""
"""randomized experiment""","""OpenAlex"""
"""analysis of covariance""","""OpenAIRE"""
"""software portability""","""OpenAlex"""
"""solver""","""OpenAlex"""
"""compiler""","""OpenAlex"""
"""output feedback""","""OpenAlex"""
"""minimum phase""","""OpenAlex"""
"""local convergence""","""OpenAIRE"""
"""minimum phase""","""OpenAIRE"""
"""situation calculus""","""OpenAlex"""
"""programmer""","""OpenAlex"""
"""pointer (user interface)""","""OpenAlex"""
"""computer memory emerging technologies""","""OpenAIRE"""
"""obstacle""","""OpenAIRE"""
"""iterated function system""","""OpenAlex"""
"""function space""","""OpenAlex"""
"""besov space""","""OpenAlex"""
"""interpolation space""","""OpenAlex"""
"""functional analysis""","""OpenAlex"""
"""mathematics(all)""","""OpenAIRE"""
"""topological tensor product""","""OpenAIRE"""
"""real-valued function""","""OpenAIRE"""
"""frechet space""","""OpenAIRE"""
"""interpolation space""","""OpenAIRE"""
"""lp space""","""OpenAIRE"""
"""nucleon""","""OpenAlex"""
"""holography black holes""","""OpenAIRE"""
"""shell (structure)""","""OpenAIRE"""
"""phys nexp physics physics nuclear experiment nucl-ex""","""OpenAIRE"""
"""tensor""","""OpenAIRE"""
"""nuclear experiment (nucl-ex)""","""OpenAIRE"""
"""nuclear experiment""","""OpenAIRE"""
"""unit interval""","""OpenAlex"""
"""countable set""","""OpenAlex"""
"""countable set""","""OpenAIRE"""
"""unit interval""","""OpenAIRE"""
"""differential privacy""","""OpenAlex"""
"""minimax""","""OpenAlex"""
"""kullback-leibler divergence""","""OpenAlex"""
"""information privacy""","""OpenAIRE"""
"""location parameter""","""OpenAIRE"""
"""minimax""","""OpenAIRE"""
"""upper and lower bounds""","""OpenAIRE"""
"""differential privacy""","""OpenAIRE"""
"""divergence (statistics)""","""OpenAIRE"""
"""statistician""","""OpenAIRE"""
"""expatriate""","""OpenAlex"""
"""multinational corporation""","""OpenAlex"""
"""fluency""","""OpenAlex"""
"""international business""","""OpenAlex"""
"""multilevel model""","""OpenAlex"""
"""expatriate""","""OpenAIRE"""
"""international business""","""OpenAIRE"""
"""host country""","""OpenAIRE"""
"""multinational corporation""","""OpenAIRE"""
"""demographic economics""","""OpenAIRE"""
"""quantum noise""","""OpenAlex"""
"""shot noise""","""OpenAlex"""
"""intensity (physics)""","""OpenAlex"""
"""noise power""","""OpenAIRE"""
"""quantum noise""","""OpenAIRE"""
"""nonlinear optics""","""OpenAIRE"""
"""property (programming)""","""OpenAIRE"""
"""latency (engineering)""","""OpenAIRE"""
"""opsin""","""OpenAlex"""
"""phyletic gradualism""","""OpenAlex"""
"""trichromacy""","""OpenAlex"""
"""color vision""","""OpenAlex"""
"""visual pigments""","""OpenAlex"""
"""rhodopsin""","""OpenAlex"""
"""opsin""","""OpenAIRE"""
"""eye""","""OpenAIRE"""
"""bird vision""","""OpenAIRE"""
"""primate""","""OpenAIRE"""
"""phyletic gradualism""","""OpenAIRE"""
"""ocular physiological phenomena""","""OpenAIRE"""
"""rod opsins""","""OpenAIRE"""
"""vertebrate""","""OpenAIRE"""
"""retinal pigments""","""OpenAIRE"""
"""missing data""","""OpenAlex"""
"""imputation (statistics)""","""OpenAlex"""
"""preprocessor""","""OpenAIRE"""
"""imputation (statistics)""","""OpenAIRE"""
"""audiology otology""","""OpenAIRE"""
"""pickup""","""OpenAlex"""
"""vehicle routing problem""","""OpenAlex"""
"""classification scheme""","""OpenAIRE"""
"""delivery problems""","""OpenAIRE"""
"""pickup""","""OpenAIRE"""
"""stall (fluid mechanics)""","""OpenAlex"""
"""angle of attack""","""OpenAlex"""
"""aerodynamics""","""OpenAlex"""
"""lift coefficient""","""OpenAIRE"""
"""reynolds number""","""OpenAIRE"""
"""stall (fluid mechanics)""","""OpenAIRE"""
"""boundary layer""","""OpenAIRE"""
"""deflection (engineering)""","""OpenAIRE"""
"""box counting""","""OpenAlex"""
"""fractal analysis""","""OpenAlex"""
"""fractal""","""OpenAIRE"""
"""initialization""","""OpenAIRE"""
"""strict-feedback form""","""OpenAIRE"""
"""quadrature (astronomy)""","""OpenAlex"""
"""low-pass filter""","""OpenAIRE"""
"""unit circle""","""OpenAIRE"""
"""multiplier (economics)""","""OpenAIRE"""
"""digital filter""","""OpenAIRE"""
"""civil society""","""OpenAlex"""
"""global governance""","""OpenAlex"""
"""organizational field""","""OpenAlex"""
"""government (linguistics)""","""OpenAlex"""
"""institutional theory""","""OpenAlex"""
"""government""","""OpenAIRE"""
"""civil society""","""OpenAIRE"""
"""global governance""","""OpenAIRE"""
"""contourlet""","""OpenAlex"""
"""curvelet""","""OpenAlex"""
"""stationary wavelet transform""","""OpenAlex"""
"""continuous wavelet transform""","""OpenAIRE"""
"""electric power electronics and the environment""","""OpenAIRE"""
"""second-generation wavelet transform""","""OpenAIRE"""
"""contourlet""","""OpenAIRE"""
"""harmonic wavelet transform""","""OpenAIRE"""
"""pesq""","""OpenAlex"""
"""monaural""","""OpenAlex"""
"""speech enhancement""","""OpenAlex"""
"""short-time fourier transform""","""OpenAlex"""
"""masking (illustration)""","""OpenAlex"""
"""fourier analysis""","""OpenAlex"""
"""voice activity detection""","""OpenAIRE"""
"""speech coding""","""OpenAIRE"""
"""short-time fourier transform""","""OpenAIRE"""
"""linear predictive coding""","""OpenAIRE"""
"""speech processing""","""OpenAIRE"""
"""speech enhancement""","""OpenAIRE"""
"""speech-language pathology audiology""","""OpenAIRE"""
"""spectrogram""","""OpenAIRE"""
"""applications of artificial intelligence assistive technology""","""OpenAIRE"""
"""pesq""","""OpenAIRE"""
"""stylized fact""","""OpenAlex"""
"""stylized fact""","""OpenAIRE"""
"""saccade""","""OpenAlex"""
"""gaze""","""OpenAlex"""
"""eccentricity (behavior)""","""OpenAlex"""
"""index finger""","""OpenAlex"""
"""parallel processing (psychology)""","""OpenAIRE"""
"""index (typography)""","""OpenAIRE"""
"""gaze""","""OpenAIRE"""
"""saccade""","""OpenAIRE"""
"""visual field tests""","""OpenAIRE"""
"""moduli""","""OpenAlex"""
"""molecular graph""","""OpenAlex"""
"""affordable and clean energy""","""OpenAIRE"""
"""materials""","""OpenAIRE"""
"""cond-mat mtrl-sci""","""OpenAIRE"""
"""universal turing machine""","""OpenAIRE"""
"""astrobiology""","""OpenAlex"""
"""attitude control""","""OpenAIRE"""
"""crewed spacecraft embedded systems""","""OpenAIRE"""
"""face validity""","""OpenAlex"""
"""merchandising retailing""","""OpenAIRE"""
"""digital signal processing""","""OpenAIRE"""
"""implicit-association test""","""OpenAlex"""
"""avatar""","""OpenAlex"""
"""illusion""","""OpenAlex"""
"""racial bias""","""OpenAlex"""
"""social cognition""","""OpenAlex"""
"""racism""","""OpenAlex"""
"""racism""","""OpenAIRE"""
"""body image""","""OpenAIRE"""
"""avatar""","""OpenAIRE"""
"""implicit-association test""","""OpenAIRE"""
"""prejudice""","""OpenAIRE"""
"""general equilibrium theory""","""OpenAlex"""
"""computable general equilibrium""","""OpenAIRE"""
"""alpha (programming language)""","""OpenAIRE"""
"""economic data""","""OpenAIRE"""
"""bandlimiting""","""OpenAIRE"""
"""stochastic programming""","""OpenAlex"""
"""emergency management""","""OpenAlex"""
"""preparedness""","""OpenAlex"""
"""disaster response""","""OpenAlex"""
"""humanitarian logistics""","""OpenAlex"""
"""risk management""","""OpenAlex"""
"""stochastic programming""","""OpenAIRE"""
"""routing (hydrology)""","""OpenAIRE"""
"""preparedness""","""OpenAIRE"""
"""vehicle routing problem""","""OpenAIRE"""
"""stochastic optimization""","""OpenAIRE"""
"""recurrence""","""OpenAIRE"""
"""depression (differential diagnoses)""","""OpenAIRE"""
"""depressive disorder major""","""OpenAIRE"""
"""task force""","""OpenAIRE"""
"""major depressive disorder""","""OpenAIRE"""
"""blended learning""","""OpenAIRE"""
"""robot manipulator""","""OpenAlex"""
"""robotic arm""","""OpenAlex"""
"""redundancy (engineering)""","""OpenAIRE"""
"""heat transfer heat exchangers""","""OpenAIRE"""
"""african american""","""OpenAlex"""
"""public transport""","""OpenAlex"""
"""raw data""","""OpenAlex"""
"""novelty detection""","""OpenAIRE"""
"""mode (computer interface)""","""OpenAIRE"""
"""global positioning system""","""OpenAIRE"""
"""optical coherence tomography""","""OpenAlex"""
"""interferometry""","""OpenAlex"""
"""velocimetry""","""OpenAlex"""
"""preclinical imaging""","""OpenAlex"""
"""in vivo""","""OpenAlex"""
"""optical coherence tomography""","""OpenAIRE"""
"""biological imaging""","""OpenAIRE"""
"""preclinical imaging""","""OpenAIRE"""
"""representer theorem""","""OpenAlex"""
"""kernel embedding of distributions""","""OpenAlex"""
"""teknik och teknologier""","""OpenAIRE"""
"""system identification""","""OpenAIRE"""
"""dna bacterial""","""OpenAIRE"""
"""phylogenetic network""","""OpenAIRE"""
"""ribosomal rna""","""OpenAIRE"""
"""systems design""","""OpenAlex"""
"""information visualization""","""OpenAIRE"""
"""user experience design""","""OpenAIRE"""
"""design education""","""OpenAIRE"""
"""inverse""","""OpenAlex"""
"""inverse""","""OpenAIRE"""
"""hysteresis (economics)""","""OpenAIRE"""
"""robust control""","""OpenAIRE"""
"""error detection and correction""","""OpenAIRE"""
"""parametrization""","""OpenAIRE"""
"""signal peptide""","""OpenAlex"""
"""protein targeting""","""OpenAlex"""
"""membrane protein""","""OpenAlex"""
"""signal peptide""","""OpenAIRE"""
"""codon initiator""","""OpenAIRE"""
"""protein sorting signals""","""OpenAIRE"""
"""medicine disease cause""","""OpenAIRE"""
"""recursion (computer science)""","""OpenAlex"""
"""deductive database""","""OpenAlex"""
"""novelty""","""OpenAlex"""
"""computational problems in graph theory np-complete problems""","""OpenAIRE"""
"""recursion""","""OpenAIRE"""
"""mathematical proof""","""OpenAIRE"""
"""computer science(all)""","""OpenAIRE"""
"""corporation""","""OpenAlex"""
"""mutant""","""OpenAIRE"""
"""decision theory""","""OpenAlex"""
"""bf""","""OpenAIRE"""
"""looming""","""OpenAIRE"""
"""prospect theory""","""OpenAIRE"""
"""rank (computer programming)""","""OpenAIRE"""
"""hierarchical clustering""","""OpenAlex"""
"""hierarchical clustering of networks""","""OpenAIRE"""
"""binocular rivalry""","""OpenAlex"""
"""rivalry""","""OpenAlex"""
"""excitatory postsynaptic potential""","""OpenAlex"""
"""inhibitory postsynaptic potential""","""OpenAlex"""
"""consciousness""","""OpenAlex"""
"""binocular rivalry""","""OpenAIRE"""
"""vision disparity""","""OpenAIRE"""
"""continuous flash suppression""","""OpenAIRE"""
"""rivalry""","""OpenAIRE"""
"""binocular vision""","""OpenAIRE"""
"""monocular rivalry""","""OpenAIRE"""
"""visual feedback""","""OpenAlex"""
"""brain function""","""OpenAlex"""
"""lesion""","""OpenAlex"""
"""imagery psychotherapy""","""OpenAIRE"""
"""phantom limb""","""OpenAIRE"""
"""neurological disorder""","""OpenAIRE"""
"""visual feedback""","""OpenAIRE"""
"""neuroplasticity""","""OpenAIRE"""
"""stroke rehabilitation""","""OpenAIRE"""
"""paresis""","""OpenAIRE"""
"""hemiparesis""","""OpenAIRE"""
"""emotional expression""","""OpenAlex"""
"""body language""","""OpenAlex"""
"""face perception""","""OpenAlex"""
"""emotion perception""","""OpenAlex"""
"""kinesics""","""OpenAIRE"""
"""emotional expression""","""OpenAIRE"""
"""body language""","""OpenAIRE"""
"""scalp""","""OpenAIRE"""
"""stride""","""OpenAlex"""
"""gait""","""OpenAlex"""
"""gyroscope""","""OpenAlex"""
"""gait analysis""","""OpenAlex"""
"""preferred walking speed""","""OpenAlex"""
"""treadmill""","""OpenAlex"""
"""inertial frame of reference""","""OpenAlex"""
"""effect of gait parameters on energetic cost""","""OpenAlex"""
"""power walking""","""OpenAIRE"""
"""effect of gait parameters on energetic cost""","""OpenAIRE"""
"""stride""","""OpenAIRE"""
"""accelerometer""","""OpenAIRE"""
"""gait (human)""","""OpenAIRE"""
"""inertial measurement unit""","""OpenAIRE"""
"""gait""","""OpenAIRE"""
"""foot""","""OpenAIRE"""
"""gait analysis""","""OpenAIRE"""
"""terminology""","""OpenAlex"""
"""stem cell""","""OpenAlex"""
"""embryo""","""OpenAlex"""
"""reproductive technology""","""OpenAlex"""
"""embryogenesis""","""OpenAlex"""
"""somatic evolution in cancer""","""OpenAIRE"""
"""clonal evolution""","""OpenAIRE"""
"""in patient""","""OpenAIRE"""
"""confusion""","""OpenAIRE"""
"""cell differentiation""","""OpenAIRE"""
"""cell transformation neoplastic""","""OpenAIRE"""
"""joint prosthesis""","""OpenAIRE"""
"""gaussian process""","""OpenAIRE"""
"""therapy computer-assisted""","""OpenAIRE"""
"""shape-memory polymer""","""OpenAlex"""
"""fabrication""","""OpenAlex"""
"""soft matter""","""OpenAlex"""
"""smart material""","""OpenAlex"""
"""colloid""","""OpenAlex"""
"""fabrication""","""OpenAIRE"""
"""shape-memory alloy""","""OpenAIRE"""
"""electroactive polymers""","""OpenAIRE"""
"""voltage""","""OpenAIRE"""
"""sequence labeling""","""OpenAlex"""
"""lifelong learning""","""OpenAlex"""
"""lifelong learning""","""OpenAIRE"""
"""synapse""","""OpenAIRE"""
"""shrinkage""","""OpenAlex"""
"""fault detection and isolation""","""OpenAlex"""
"""bottleneck""","""OpenAlex"""
"""botnet""","""OpenAlex"""
"""botnet""","""OpenAIRE"""
"""overhead (computing)""","""OpenAIRE"""
"""license""","""OpenAlex"""
"""compliance (psychology)""","""OpenAlex"""
"""regulation""","""OpenAIRE"""
"""data stream clustering""","""OpenAIRE"""
"""haze""","""OpenAlex"""
"""luminance""","""OpenAlex"""
"""chromaticity""","""OpenAlex"""
"""gamma correction""","""OpenAlex"""
"""similarity (geometry)""","""OpenAIRE"""
"""haze""","""OpenAIRE"""
"""article subject""","""OpenAIRE"""
"""lcsh mathematics""","""OpenAIRE"""
"""lcsh qa-""","""OpenAIRE"""
"""lcsh ta-""","""OpenAIRE"""
"""lcsh engineering (general) civil engineering (general)""","""OpenAIRE"""
"""propagule""","""OpenAlex"""
"""gene flow""","""OpenAlex"""
"""genetic drift""","""OpenAlex"""
"""extinction (optical mineralogy)""","""OpenAlex"""
"""colonization""","""OpenAlex"""
"""population size""","""OpenAlex"""
"""extinction""","""OpenAIRE"""
"""gene pool""","""OpenAIRE"""
"""gene flow""","""OpenAIRE"""
"""gene frequency""","""OpenAIRE"""
"""genetic drift""","""OpenAIRE"""
"""propagule""","""OpenAIRE"""
"""hierarchy social""","""OpenAIRE"""
"""evolutionarily stable strategy""","""OpenAIRE"""
"""augmented reality""","""OpenAlex"""
"""geometric topology (math gt)""","""OpenAIRE"""
"""mathematics - geometric topology""","""OpenAIRE"""
"""heartbeat""","""OpenAlex"""
"""heartbeat""","""OpenAIRE"""
"""sadness""","""OpenAlex"""
"""disgust""","""OpenAlex"""
"""anger""","""OpenAlex"""
"""emotion classification""","""OpenAlex"""
"""happiness""","""OpenAlex"""
"""anger""","""OpenAIRE"""
"""sadness""","""OpenAIRE"""
"""functional imaging""","""OpenAIRE"""
"""visual processing""","""OpenAlex"""
"""visual objects""","""OpenAlex"""
"""visual processing""","""OpenAIRE"""
"""conduct disorder""","""OpenAlex"""
"""childhood development""","""OpenAIRE"""
"""conduct disorder""","""OpenAIRE"""
"""neuropsychology""","""OpenAIRE"""
"""modalities""","""OpenAIRE"""
"""infant""","""OpenAIRE"""
"""growth""","""OpenAIRE"""
"""form perception""","""OpenAIRE"""
"""bayesian information criterion""","""OpenAlex"""
"""document clustering""","""OpenAlex"""
"""document clustering""","""OpenAIRE"""
"""determining the number of clusters in a data set""","""OpenAIRE"""
"""thumbnail""","""OpenAlex"""
"""torque""","""OpenAIRE"""
"""medical terminology patient""","""OpenAIRE"""
"""bicycling""","""OpenAIRE"""
"""dynamic simulation""","""OpenAIRE"""
"""stress mechanical""","""OpenAIRE"""
"""substance-related disorders""","""OpenAIRE"""
"""ventral tegmental area""","""OpenAIRE"""
"""opioid""","""OpenAIRE"""
"""brain stimulation reward""","""OpenAIRE"""
"""medicine drug""","""OpenAIRE"""
"""random tree""","""OpenAlex"""
"""motion planning""","""OpenAlex"""
"""plan (archaeology)""","""OpenAlex"""
"""random tree""","""OpenAIRE"""
"""anytime algorithm""","""OpenAIRE"""
"""synchronization (alternating current)""","""OpenAlex"""
"""lyapunov stability""","""OpenAlex"""
"""multi-agent system""","""OpenAIRE"""
"""computer science - systems and control""","""OpenAIRE"""
"""redundancy (engineering)""","""OpenAlex"""
"""impedance control""","""OpenAIRE"""
"""anxiety""","""OpenAlex"""
"""animal model""","""OpenAlex"""
"""ethology""","""OpenAIRE"""
"""benzodiazepines""","""OpenAIRE"""
"""general pharmacology toxicology and pharmaceutics""","""OpenAIRE"""
"""maze learning""","""OpenAIRE"""
"""lcsh qh-""","""OpenAIRE"""
"""antidepressive agents""","""OpenAIRE"""
"""disease models animal""","""OpenAIRE"""
"""lcsh biology (general)""","""OpenAIRE"""
"""steroids""","""OpenAIRE"""
"""locomotion""","""OpenAIRE"""
"""stress psychological""","""OpenAIRE"""
"""vendor""","""OpenAlex"""
"""vendor""","""OpenAIRE"""
"""telecommunications service""","""OpenAIRE"""
"""group decision-making""","""OpenAIRE"""
"""yeasts""","""OpenAIRE"""
"""rna messenger""","""OpenAIRE"""
"""dna probes""","""OpenAIRE"""
"""datalog""","""OpenAlex"""
"""relational database""","""OpenAlex"""
"""ask price""","""OpenAlex"""
"""sql""","""OpenAlex"""
"""datalog""","""OpenAIRE"""
"""syntax (programming languages)""","""OpenAIRE"""
"""relational database""","""OpenAIRE"""
"""ask price""","""OpenAIRE"""
"""telecommunications link""","""OpenAlex"""
"""stochastic geometry""","""OpenAlex"""
"""cellular network""","""OpenAlex"""
"""signal-to-interference-plus-noise ratio""","""OpenAlex"""
"""base station""","""OpenAlex"""
"""blocking (statistics)""","""OpenAIRE"""
"""interference (wave propagation)""","""OpenAIRE"""
"""telecommunications link""","""OpenAIRE"""
"""antenna (radio)""","""OpenAIRE"""
"""stochastic geometry""","""OpenAIRE"""
"""informatics""","""OpenAlex"""
"""lcsh analysis""","""OpenAIRE"""
"""lcsh qa -""","""OpenAIRE"""
"""bittorrent tracker""","""OpenAIRE"""
"""kanade-lucas-tomasi feature tracker""","""OpenAIRE"""
"""info info-rb computer science cs robotics cs ro""","""OpenAIRE"""
"""compressed sensing""","""OpenAIRE"""
"""deconvolution""","""OpenAIRE"""
"""ambiguity""","""OpenAlex"""
"""thermal fluctuations""","""OpenAIRE"""
"""lattice (order)""","""OpenAIRE"""
"""glass compositions glass""","""OpenAIRE"""
"""template matching""","""OpenAIRE"""
"""infinitesimal strain theory""","""OpenAIRE"""
"""tuberculosis""","""OpenAlex"""
"""human immunodeficiency virus (hiv)""","""OpenAlex"""
"""pneumonia""","""OpenAlex"""
"""human immunodeficiency virus (hiv)""","""OpenAIRE"""
"""infectious diseases""","""OpenAIRE"""
"""acquired immunodeficiency syndrome (aids)""","""OpenAIRE"""
"""family medicine""","""OpenAIRE"""
"""extreme weather""","""OpenAlex"""
"""extreme weather""","""OpenAIRE"""
"""plant biology botany""","""OpenAIRE"""
"""data assimilation""","""OpenAlex"""
"""state variable""","""OpenAIRE"""
"""data assimilation""","""OpenAIRE"""
"""probability distribution""","""OpenAIRE"""
"""german""","""OpenAlex"""
"""communicative competence""","""OpenAlex"""
"""discourse analysis""","""OpenAIRE"""
"""computer-assisted instruction""","""OpenAIRE"""
"""language human language""","""OpenAIRE"""
"""german""","""OpenAIRE"""
"""effective method""","""OpenAIRE"""
"""electre""","""OpenAlex"""
"""preference elicitation""","""OpenAlex"""
"""decision sciences(all)""","""OpenAIRE"""
"""data integration""","""OpenAIRE"""
"""linear interpolation""","""OpenAlex"""
"""smoothing spline""","""OpenAlex"""
"""evoked potential""","""OpenAIRE"""
"""social movement""","""OpenAlex"""
"""information and communications technology""","""OpenAlex"""
"""icts""","""OpenAlex"""
"""information and communications technology""","""OpenAIRE"""
"""information society""","""OpenAIRE"""
"""central nervous system disease""","""OpenAIRE"""
"""degenerative disease""","""OpenAIRE"""
"""alzheimer disease""","""OpenAIRE"""
"""neurodegenerative diseases""","""OpenAIRE"""
"""nerve cells""","""OpenAIRE"""
"""alzheimer's disease""","""OpenAIRE"""
"""euclidean vector""","""OpenAIRE"""
"""ball (bearing)""","""OpenAIRE"""
"""calculus of variations""","""OpenAlex"""
"""calculus of variations""","""OpenAIRE"""
"""positive-definite matrix""","""OpenAlex"""
"""semidefinite programming""","""OpenAlex"""
"""matrix norm""","""OpenAlex"""
"""large margin nearest neighbor""","""OpenAlex"""
"""semidefinite programming""","""OpenAIRE"""
"""semidefinite embedding""","""OpenAIRE"""
"""positive definiteness""","""OpenAIRE"""
"""lti system theory""","""OpenAlex"""
"""servomotor""","""OpenAIRE"""
"""vehicle dynamics""","""OpenAIRE"""
"""knowledge representation and reasoning""","""OpenAIRE"""
"""binding problem""","""OpenAIRE"""
"""digital native""","""OpenAlex"""
