Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
chirality (physics),OpenAlex,chirality (chemistry),OpenAIRE,0.9927094949490836,8,5,3,0.3
computer,OpenAIRE,data mining,OpenAlex,0.6185568308657187,4749,2774,1472,0.2432655759378615
context (language use),OpenAIRE,context (archaeology),OpenAlex,0.9030110254668426,894,1330,734,0.4926174496644295
economics and business,OpenAIRE,marketing,OpenAlex,0.738942526646174,2249,1130,612,0.221178171304662
strategy and management,OpenAIRE,marketing,OpenAlex,0.7679208802510227,927,1130,345,0.201518691588785
business and international management,OpenAIRE,marketing,OpenAlex,0.7711249624520579,621,1130,292,0.2001370801919122
energy,OpenAIRE,electrical engineering,OpenAlex,0.5468612272781112,464,1228,315,0.2287581699346405
engineering,OpenAIRE,electrical engineering,OpenAlex,0.9230088494150556,1607,1228,568,0.2505513895015439
control (management),OpenAlex,engineering,OpenAIRE,0.3309886115582778,2884,1607,808,0.2193863698072223
control engineering,OpenAlex,engineering,OpenAIRE,0.8309409027098887,761,1607,417,0.2137365453613531
electrical engineering,OpenAlex,engineering,OpenAIRE,0.9230088494150556,1228,1607,568,0.2505513895015439
electrical engineering,OpenAlex,energy,OpenAIRE,0.5468612272781112,1228,464,315,0.2287581699346405
mathematics,OpenAlex,engineering and technology,OpenAIRE,0.5968238872209795,12607,7061,3445,0.2123528323984466
artificial intelligence,OpenAlex,engineering and technology,OpenAIRE,0.7301847394534217,28905,7061,7061,0.2442829960214495
computer science,OpenAlex,engineering and technology,OpenAIRE,0.7597246508473249,28905,7061,7061,0.2442829960214495
pattern recognition (psychology),OpenAlex,"electrical engineering, electronic engineering, information engineering",OpenAIRE,0.4013832882919645,3593,5062,1509,0.2111670864819479
control theory (sociology),OpenAlex,electrical and electronic engineering,OpenAIRE,0.4018342405696717,1735,2572,940,0.2791802791802791
control (management),OpenAlex,electrical and electronic engineering,OpenAIRE,0.3809283454914809,2884,2572,1062,0.2416932180245789
machine learning,OpenAlex,computer,OpenAIRE,0.676016380779749,4810,4749,2006,0.2655898318548921
data mining,OpenAlex,computer,OpenAIRE,0.6185568308657187,2774,4749,1472,0.2432655759378615
lattice (order),OpenAIRE,lattice (music),OpenAlex,0.927221026517696,24,37,18,0.4186046511627907
quantum mechanics,OpenAIRE,quantum,OpenAlex,0.9344362838066308,125,216,71,0.2629629629629629
quantum physics,OpenAIRE,quantum,OpenAlex,0.9272453146666414,91,216,67,0.2791666666666667
general physics and astronomy,OpenAIRE,statistical physics,OpenAlex,0.8458860790086603,574,755,227,0.2059891107078039
psychology,OpenAIRE,social psychology,OpenAlex,0.8011338853981462,4003,2424,1495,0.3031224655312247
quantum,OpenAlex,quantum physics,OpenAIRE,0.9272453146666414,216,91,67,0.2791666666666667
project management triangle,OpenAIRE,project management,OpenAlex,0.9413103177670514,14,35,12,0.3243243243243243
extreme project management,OpenAIRE,project management,OpenAlex,0.9332919056923896,8,35,8,0.2285714285714285
construction/building engineering,OpenAIRE,project management,OpenAlex,0.6516054065446117,36,35,12,0.2033898305084746
project charter,OpenAIRE,project management,OpenAlex,0.7872742601838657,8,35,8,0.2285714285714285
texture (crystalline),OpenAIRE,texture (cosmology),OpenAlex,0.9771944621418492,40,180,40,0.2222222222222222
particle,OpenAIRE,particle (ecology),OpenAlex,0.2874137414943686,17,28,9,0.25
artificial intelligence,OpenAIRE,computer vision,OpenAlex,0.7091882296432057,7904,3074,2143,0.2425580079230334
orientation (computer vision),OpenAIRE,orientation (vector space),OpenAlex,0.9481038030336312,104,217,68,0.2687747035573122
position (vector),OpenAIRE,position (finance),OpenAlex,0.9650442132818242,94,223,68,0.2730923694779116
